year,statefips,countyfips,ds_pm_pred
2011,21,21159,9.791969673972603
2013,45,45075,8.902782178082192
2013,26,26009,6.861777741682975
2011,21,21007,10.006129030136986
2014,13,13293,10.890901056751468
2014,42,42067,10.325487397260274
2012,39,39091,10.945879384003974
2012,41,41029,6.824160745035319
2012,13,13207,10.480554262295082
2014,20,20075,6.756111780821918
2014,30,30029,8.09630645998558
2011,13,13153,12.065246501250744
2013,21,21027,10.261930228310502
2011,42,42081,9.213476261124232
2012,19,19129,9.708519453551913
2013,18,18057,11.24693727432385
2013,5,5121,9.413125246575342
2013,5,5131,9.637750316122234
2013,31,31113,5.897713095890411
2013,48,48191,6.624004657534247
2013,21,21107,10.012378926940639
2011,48,48071,9.153887616438356
2012,6,6035,6.352125585913783
2011,20,20209,10.996582827671233
2014,54,54015,9.132996438356164
2013,26,26133,7.532060228310502
2011,20,20117,8.881141871917808
2011,17,17025,10.343607909589041
2014,55,55037,6.567260273972603
2012,48,48037,9.773174210686096
2013,53,53019,4.366221296803653
2011,21,21091,11.092642479452055
2013,37,37065,8.059470645792564
2011,48,48293,9.011387604109589
2011,48,48105,7.376024265753425
2012,51,51009,8.548851217364906
2011,38,38067,7.66901133479452
2011,19,19089,9.32038037260274
2012,48,48337,8.550123679417122
2013,29,29021,9.326527002739726
2014,1,1025,9.907817168949772
2012,37,37027,8.951602909032465
2014,37,37155,9.907011975254088
2014,45,45009,9.86779198630137
2013,12,12099,5.679884616235112
2012,38,38005,7.485717213114754
2012,42,42065,9.42533209331652
2013,54,54079,9.528844493150685
2014,5,5081,9.839745205479452
2011,47,47039,9.202392189041096
2011,9,9011,8.470852406659642
2012,27,27097,8.767414719945355
2013,55,55109,9.011149432485323
2013,40,40083,8.939816917808219
2012,36,36047,9.810607536310037
2011,56,56009,5.823789679452055
2011,22,22081,9.58852015890411
2012,37,37015,8.145146243169399
2013,20,20033,7.056338356164384
2013,39,39049,11.058878002122323
2012,23,23007,6.514001873102611
2013,48,48109,5.25480904109589
2013,46,46055,5.464075863013699
2012,51,51131,7.65381985428051
2011,5,5065,9.910849443835616
2013,55,55127,9.850948244084682
2012,31,31179,8.817980464480874
2013,21,21127,8.953843068493151
2011,6,6021,7.215650983561644
2014,18,18155,11.064763470319635
2012,32,32029,6.333548005464481
2012,55,55011,9.296762568306011
2013,48,48431,6.71866
2012,55,55107,8.085772240437158
2013,47,47071,9.043469543378995
2011,18,18123,11.310174297534247
